rows,text,date,number,type
17,3,0,0,barPacked
3,1,0,12,line
19,0,0,1,line
5,3,0,2,columnPacked
10,0,0,2,line
3,0,0,2,column
1,1,0,3,barPacked
4,1,0,2,columnPacked
3,1,0,2,columnPacked
2,1,0,2,column
5,1,0,2,column
1,1,0,10,line
6,1,0,2,pie
4,1,0,4,column
88,0,1,2,stockLine
11,4,0,0,grid
4,1,0,4,grid
5,1,0,5,column
45,4,0,1,grid
90,5,0,1,grid
9,1,0,1,bar
4,1,0,4,columnPacked
4,1,0,4,column
5,1,0,2,column
6,1,0,3,column
4,1,0,4,column
4,3,0,3,bar
3,1,0,1,bar
6,1,0,8,barStacked
10,1,0,8,barStacked
4,1,0,4,column
11,1,0,1,bar
7,1,0,1,line
13,0,0,3,line
40,0,0,2,line
10,1,0,2,spline
10,1,0,2,spline
5,1,0,1,pie
1,1,0,5,column
1,1,0,3,column
1,1,0,2,pie
4,1,0,2,columnPacked
1,1,0,4,column
1,1,0,3,column
4,8,0,7,column
4,8,0,7,barStacked
7,1,0,1,columnPacked
1,1,0,2,column
5,1,0,1,bar
1,1,0,4,column
1,1,0,2,column
14,3,0,0,grid
2,1,0,1,pie
4,1,0,6,columnPacked
1,1,0,6,column
1,1,0,2,column
3,1,0,0,column
-1,3,0,0,grid
1,0,0,51,line
3,1,0,2,line
7,2,0,0,grid
10,1,0,0,grid
36,3,0,0,grid
31,7,0,0,grid
18,4,0,0,grid
5,1,0,8,pie
4,2,0,4,line
4,2,0,4,area
4,1,0,4,column
36,3,0,0,grid
4,1,0,4,spline
4,1,0,6,barStacked
4,1,0,4,column
4,1,0,2,pie
10,1,0,0,column
1,1,0,8,column
12,1,0,2,bar
50,1,0,2,scatter
4,5,0,0,grid
12901,0,1,1,stockColumn
8,3,0,0,grid
7,1,0,1,column
3,1,0,2,column
13,1,0,1,column
12,1,0,1,column
6,2,0,0,grid
57,0,1,1,stockSpline
2,1,0,3,column
1,1,0,3,column
1,1,0,5,column
7,6,0,0,grid
5,6,0,1,pie
1,1,0,3,column
2,1,0,1,pie
3,1,0,4,column
187,2,0,3,scatter
8,0,0,4,line
3,2,0,4,column
10,1,0,2,columnPacked
6,3,0,0,grid
1,1,0,2,column
1,1,0,3,column
1,1,0,8,spline
10,1,0,2,spline
7,1,0,2,bar
3,1,0,2,column
1,1,0,4,column
2,1,0,2,scatter
1,1,0,5,column
9,1,0,1,column
60,0,0,2,line
34,3,0,0,grid
32,2,0,3,bubble
1138,2,1,16,grid
49,1,0,1,columnPacked
3,1,0,3,columnPacked
3,1,0,3,columnPacked
1647,9,0,1,columnPacked
3,1,0,6,pie
5,1,0,2,column
10,2,0,5,columnPacked
1,1,0,3,columnPacked
4,1,0,2,columnStacked
19,1,0,0,grid
5,0,0,4,line
6,0,0,4,line
6,0,0,4,line
6,0,0,2,line
