rows,text,date,number,type
1,1,0,4,8
1,1,0,3,8
4,8,0,7,8
4,8,0,7,6
7,1,0,1,9
1,1,0,2,8
5,1,0,1,4
1,1,0,4,8
1,1,0,2,8
14,3,0,0,13
2,1,0,1,16
4,1,0,6,9
1,1,0,6,8
1,1,0,2,8
3,1,0,0,8
-1,3,0,0,13
1,0,0,51,14
3,1,0,2,14
7,2,0,0,13
10,1,0,0,13
36,3,0,0,13
31,7,0,0,13
18,4,0,0,13
5,1,0,8,16
4,2,0,4,14
4,2,0,4,1
4,1,0,4,8
36,3,0,0,13
4,1,0,4,20
4,1,0,6,6
4,1,0,4,8
4,1,0,2,16
10,1,0,0,8
1,1,0,8,8
12,1,0,2,4
50,1,0,2,18
4,5,0,0,13
12901,0,1,1,22
8,3,0,0,13
7,1,0,1,8
3,1,0,2,8
13,1,0,1,8
12,1,0,1,8
6,2,0,0,13
57,0,1,1,25
2,1,0,3,8
1,1,0,3,8
1,1,0,5,8
7,6,0,0,13
5,6,0,1,16
1,1,0,3,8
2,1,0,1,16
3,1,0,4,8
187,2,0,3,18
8,0,0,4,14
3,2,0,4,8
10,1,0,2,9
6,3,0,0,13
1,1,0,2,8
1,1,0,3,8
1,1,0,8,20
10,1,0,2,20
7,1,0,2,4
3,1,0,2,8
1,1,0,4,8
2,1,0,2,18
1,1,0,5,8
9,1,0,1,8
60,0,0,2,14
34,3,0,0,13
32,2,0,3,7
1138,2,1,16,13
49,1,0,1,9
3,1,0,3,9
3,1,0,3,9
1647,9,0,1,9
3,1,0,6,16
5,1,0,2,8
10,2,0,5,9
1,1,0,3,9
4,1,0,2,10
19,1,0,0,13
5,0,0,4,14
6,0,0,4,14
6,0,0,4,14
6,0,0,2,14
6,0,0,3,14
9,1,0,2,17
1,1,0,5,8
10,2,0,1,8
58,1,1,1,24
7,2,0,2,9
12,1,0,2,1
4,1,0,3,8
4,1,0,4,8
4,1,0,4,8
11,2,0,0,4
1,1,0,5,8
5,1,0,1,8
6,2,0,2,9
34,1,0,0,14
4,1,0,4,14
13,1,0,3,12
10,1,0,0,6
13,1,0,0,2
10,1,0,0,16
